date,Kabupaten,NDVI_8Day_Mean
2014-05-121,Karawang,0.45771548962821756
2014-05-121,Kota Bandung,0.37318347477699676
2014-05-121,Kota Bogor,0.45519092686043966
2014-05-121,Kota Cirebon,0.4805479233315471
2014-05-121,Kota Sukabumi,0.5584850930628705
2014-05-121,Kuningan,0.6829584860366206
2014-05-121,Majalengka,0.5578237203708378
2014-05-121,Purwakarta,0.5904262380377959
2014-05-121,Subang,0.5307473803264593
2014-05-121,Sukabumi,0.7125672156442905
2014-05-121,Sumedang,0.6417299485587312
2014-05-121,Kota Bekasi,0.3238567852412067
2014-05-121,Kota Depok,0.47629441809420203
2014-05-129,Bandung,0.7128773918246369
2014-05-129,Kota Cimahi,0.34460863381843393
2014-05-129,Kota Tasikmalaya,0.49909809741730593
2014-05-129,Tasikmalaya,0.6068640629185514
2014-05-129,Ciamis,0.6017163318381188
2014-05-129,Kota Banjar,0.564381163846516
2014-05-129,Bekasi,0.5090764721898644
2014-05-129,Bogor,0.7289956904809057
2014-05-129,Cianjur,0.7345475195552057
2014-05-129,Cirebon,0.5531680010618941
2014-05-129,Garut,0.6874909891271699
2014-05-129,Indramayu,0.4718064838174118
2014-05-129,Karawang,0.508164260978938
2014-05-129,Kota Bandung,0.3749706763612948
2014-05-129,Kota Bogor,0.5443304267462519
2014-05-129,Kota Cirebon,0.48822373933107055
2014-05-129,Kota Sukabumi,0.5680248793315659
2014-05-129,Kuningan,0.709538130197721
2014-05-129,Majalengka,0.6303726167945659
2014-05-129,Purwakarta,0.689771320666909
2014-05-129,Subang,0.6050547348904523
2014-05-129,Sukabumi,0.7215755352071259
2014-05-129,Sumedang,0.7680813086942441
2014-05-129,Kota Bekasi,0.39512229430956125
2014-05-129,Kota Depok,0.5252704480226202
2014-05-137,Bandung,0.660297887706593
2014-05-137,Kota Cimahi,0.386895866241479
2014-05-137,Kota Tasikmalaya,0.5252542876105915
2014-05-137,Tasikmalaya,0.6385283367391755
2014-05-137,Ciamis,0.6048472548565991
2014-05-137,Kota Banjar,0.5930017389094644
2014-05-137,Bekasi,0.49745092166367993
2014-05-137,Bogor,0.6922237025091603
2014-05-137,Cianjur,0.7659964446832417
2014-05-137,Cirebon,0.5279493015858107
2014-05-137,Garut,0.7342481169354089
2014-05-137,Indramayu,0.4923334219844911
2014-05-137,Karawang,0.500234296347536
2014-05-137,Kota Bandung,0.385670743775242
2014-05-137,Kota Bogor,0.5359187021740609
2014-05-137,Kota Cirebon,0.4048083524146085
2014-05-137,Kota Sukabumi,0.584945069429841
2014-05-137,Kuningan,0.6571348382644125
2014-05-137,Majalengka,0.6145763018518563
2014-05-137,Purwakarta,0.6577240134944408
2014-05-137,Subang,0.6003906784420987
2014-05-137,Sukabumi,0.771095083754302
2014-05-137,Sumedang,0.7290469483781019
2014-05-137,Kota Bekasi,0.36981978703681007
2014-05-137,Kota Depok,0.5307693282649861
2014-05-145,Bandung,0.6843279374150293
2014-05-145,Kota Cimahi,0.35731179241622224
2014-05-145,Kota Tasikmalaya,0.6317236921988214
2014-05-145,Tasikmalaya,0.7526840042936893
2014-05-145,Ciamis,0.7183344968290043
2014-05-145,Kota Banjar,0.6336715230217814
2014-05-145,Bekasi,0.4777560749191897
2014-05-145,Bogor,0.693362405273133
2014-05-145,Cianjur,0.7596536016607772
2014-05-145,Cirebon,0.5313557428616319
2014-05-145,Garut,0.7710687335475028
2014-05-145,Indramayu,0.4538282870470222
2014-05-145,Karawang,0.47080377149542313
2014-05-145,Kota Bandung,0.3616838754916234
2014-05-145,Kota Bogor,0.5141709810893854
2014-05-145,Kota Cirebon,0.47954697297104054
2014-05-145,Kota Sukabumi,0.5637709393260812
2014-05-145,Kuningan,0.7317847961466352
2014-05-145,Majalengka,0.6904074206896228
2014-05-145,Purwakarta,0.6691691664654067
2014-05-145,Subang,0.5911227628241077
2014-05-145,Sukabumi,0.7531244903209047
2014-05-145,Sumedang,0.759338911218714
2014-05-145,Kota Bekasi,0.38346492070239213
2014-05-145,Kota Depok,0.5051757234055949
2014-06-153,Bandung,0.6698256406648087
2014-06-153,Kota Cimahi,0.3799044689505986
2014-06-153,Kota Tasikmalaya,0.6329781869744547
2014-06-153,Tasikmalaya,0.664332032864508
2014-06-153,Ciamis,0.6366979801881446
2014-06-153,Kota Banjar,0.6697661748211705
2014-06-153,Bekasi,0.4740797883786744
2014-06-153,Bogor,0.6906875408479076
2014-06-153,Cianjur,0.7488831638859915
2014-06-153,Cirebon,0.5619352910666546
2014-06-153,Garut,0.7584642637435132
2014-06-153,Indramayu,0.47136780616796276
2014-06-153,Karawang,0.4635056920530566
2014-06-153,Kota Bandung,0.3713201690737287
2014-06-153,Kota Bogor,0.5122383469303288
2014-06-153,Kota Cirebon,0.4880718007013965
2014-06-153,Kota Sukabumi,0.5417237974239665
2014-06-153,Kuningan,0.7609635370010562
2014-06-153,Majalengka,0.6874581093542715
2014-06-153,Purwakarta,0.6933240262309953
2014-06-153,Subang,0.6050589165854646
2014-06-153,Sukabumi,0.7593011956101404
2014-06-153,Sumedang,0.7578651164408554
2014-06-153,Kota Bekasi,0.3664769251562593
2014-06-153,Kota Depok,0.5083962338623851
2014-06-161,Bandung,0.5297898213406649
2014-06-161,Kota Cimahi,0.21438113304514136
2014-06-161,Kota Tasikmalaya,0.5778477113587068
2014-06-161,Tasikmalaya,0.6279383698087821
2014-06-161,Ciamis,0.5788128030186163
2014-06-161,Kota Banjar,0.5449380328783846
2014-06-161,Bekasi,0.4079765826866564
2014-06-161,Bogor,0.5137202113073336
2014-06-161,Cianjur,0.6647217793978041
2014-06-161,Cirebon,0.4906599269780357
2014-06-161,Garut,0.6617696540572068
2014-06-161,Indramayu,0.4538019786478417
2014-06-161,Karawang,0.41277087909187965
2014-06-161,Kota Bandung,0.27848036565713125
2014-06-161,Kota Bogor,0.33924316679373384
2014-06-161,Kota Cirebon,0.43532389179084446
2014-06-161,Kota Sukabumi,0.4966613983646514
2014-06-161,Kuningan,0.6432081982040914
2014-06-161,Majalengka,0.6313229016496792
2014-06-161,Purwakarta,0.6438789199025243
2014-06-161,Subang,0.5616993287020692
2014-06-161,Sukabumi,0.6487954244623607
2014-06-161,Sumedang,0.6848255832587629
2014-06-161,Kota Bekasi,0.33782630891884285
2014-06-161,Kota Depok,0.39706352483221774
